a66_id	main_id	ra	dec	otype	identifier
"PN A66   57"	"PN A66   57"	289.27356660005	25.62580344644	"PN"	"UBV M  44673"
"PN A66   57"	"PN A66   57"	289.27356660005	25.62580344644	"PN"	"USNO-B1.0 1156-00344440"
"PN A66   57"	"PN A66   57"	289.27356660005	25.62580344644	"PN"	"WISE J191705.62+253732.2"
"PN A66   58"	"PN A66   58"	289.5853166666667	1.7832277777777776	"PN"	"AAVSO 1913+01"
"PN A66   58"	"PN A66   58"	289.5853166666667	1.7832277777777776	"PN"	"AN    7.1920"
"PN A66   58"	"PN A66   58"	289.5853166666667	1.7832277777777776	"PN"	"C* 2719"
"PN A66   58"	"PN A66   58"	289.5853166666667	1.7832277777777776	"PN"	"CGCS 4225"
"PN A66   58"	"PN A66   58"	289.5853166666667	1.7832277777777776	"PN"	"GSC2 N020103213277"
"PN A66   58"	"PN A66   58"	289.5853166666667	1.7832277777777776	"PN"	"IRAS 19158+0141"
"PN A66   58"	"PN A66   58"	289.5853166666667	1.7832277777777776	"PN"	"Lund    21"
"PN A66   58"	"PN A66   58"	289.5853166666667	1.7832277777777776	"PN"	"NAME Nova Aquilae No 4"
"PN A66   58"	"PN A66   58"	289.5853166666667	1.7832277777777776	"PN"	"NOVA Aql 1919"
"PN A66   58"	"PN A66   58"	289.5853166666667	1.7832277777777776	"PN"	"PK 037-05  1"
"PN A66   58"	"PN A66   58"	289.5853166666667	1.7832277777777776	"PN"	"PN A55   45"
"PN A66   58"	"PN A66   58"	289.5853166666667	1.7832277777777776	"PN"	"PN A66   58"
"PN A66   58"	"PN A66   58"	289.5853166666667	1.7832277777777776	"PN"	"PN ARO  150"
"PN A66   58"	"PN A66   58"	289.5853166666667	1.7832277777777776	"PN"	"PN G037.5-05.1"
"PN A66   58"	"PN A66   58"	289.5853166666667	1.7832277777777776	"PN"	"PN VV'  489"
"PN A66   58"	"PN A66   58"	289.5853166666667	1.7832277777777776	"PN"	"SCM 239"
"PN A66   58"	"PN A66   58"	289.5853166666667	1.7832277777777776	"PN"	"V* V605 Aql"
"PN A66   59"	"PN A66   59"	289.6666791666667	19.575819444444445	"PN"	"IRAS 19164+1928"
"PN A66   59"	"PN A66   59"	289.6666791666667	19.575819444444445	"PN"	"PK 053+03  1"
"PN A66   59"	"PN A66   59"	289.6666791666667	19.575819444444445	"PN"	"PN A55   48"
"PN A66   59"	"PN A66   59"	289.6666791666667	19.575819444444445	"PN"	"PN A66   59"
"PN A66   59"	"PN A66   59"	289.6666791666667	19.575819444444445	"PN"	"PN ARO   84"
"PN A66   59"	"PN A66   59"	289.6666791666667	19.575819444444445	"PN"	"PN G053.3+03.0"
"PN A66   59"	"PN A66   59"	289.6666791666667	19.575819444444445	"PN"	"PN VV'  494"
"PN A66    6"	"PN A66    6"	44.674432769984584	64.50174334988388	"PN"	"Gaia DR3 467936205865972352"
"PN A66    6"	"PN A66    6"	44.674432769984584	64.50174334988388	"PN"	"GSC2 N31333005850"
"PN A66    6"	"PN A66    6"	44.674432769984584	64.50174334988388	"PN"	"IRAS 02545+6417"
"PN A66    6"	"PN A66    6"	44.674432769984584	64.50174334988388	"PN"	"PK 136+04  1"
"PN A66    6"	"PN A66    6"	44.674432769984584	64.50174334988388	"PN"	"PN A55    5"
"PN A66    6"	"PN A66    6"	44.674432769984584	64.50174334988388	"PN"	"PN A66    6"
"PN A66    6"	"PN A66    6"	44.674432769984584	64.50174334988388	"PN"	"PN ARO  207"
"PN A66    6"	"PN A66    6"	44.674432769984584	64.50174334988388	"PN"	"PN G136.1+04.9"
"PN A66    6"	"PN A66    6"	44.674432769984584	64.50174334988388	"PN"	"PSO J044.6744+64.5017"
