oid	hd_id	sao_id
401551	"HD 140791"	"SAO  16819"
2857273	"HD 140792"	"SAO  83977"
2831235	"HD 140793"	"SAO  83976"
2696617	"HD 140794"	"SAO 121171"
2578901	"HD 140796"	"SAO 159484"
2481701	"HD 140798"	"SAO 183774"
2325968	"HD 140799"	"SAO 206967"
279557	"HD  14080"	"SAO   4628"
3518456	"HD 140800"	"SAO 226197"
3518497	"HD 140801"	"SAO 226200"
3490290	"HD 140802"	"SAO 226205"
3474348	"HD 140803"	"SAO 226207"
3474613	"HD 140804"	"SAO 242983"
3458618	"HD 140805"	"SAO 242984"
3441786	"HD 140806"	"SAO 242987"
3426611	"HD 140807"	"SAO 242992"
3397862	"HD 140809"	"SAO 253304"
136528	"HD  14081"	"SAO  23166"
3398693	"HD 140810"	"SAO 253305"
425494	"HD 140811"	"SAO  16825"
2777094	"HD 140812"	"SAO  83980"
2777105	"HD 140813"	"SAO  83979"
2727957	"HD 140814"	"SAO 101716"
2650221	"HD 140815"	"SAO 121173"
2377236	"HD 140816"	"SAO 183777"
2325955	"HD 140817"	"SAO 206968"
3518429	"HD 140819"	"SAO 226201"
1523553	"HD  14082"	"SAO  75265"
3490096	"HD 140821"	"SAO 226209"
3458619	"HD 140822"	"SAO 242988"
3426560	"HD 140825"	"SAO 242991"
3426685	"HD 140826"	"SAO 253302"
1523553	"HD  14082A"	"SAO  75265"
1523554	"HD  14082B"	"SAO  75264"
1477288	"HD  14083"	"SAO  92867"
455287	"HD 140830"	"SAO  29630"
514330	"HD 140831"	"SAO  45700"
2831154	"HD 140832"	"SAO  83982"
2812097	"HD 140833"	"SAO  83981"
2696610	"HD 140834"	"SAO 121172"
2696612	"HD 140835"	"SAO 121174"
2544332	"HD 140836"	"SAO 159487"
2528819	"HD 140837"	"SAO 159486"
2399910	"HD 140838"	"SAO 183779"
2377237	"HD 140839"	"SAO 183778"
1408220	"HD  14084"	"SAO 110448"
2325956	"HD 140840"	"SAO 206969"
3518457	"HD 140841"	"SAO 226202"
11574655	"HD 140842"	"SAO 242990"
3442682	"HD 140843"	"SAO 242993"
2937580	"HD 140846"	"SAO  64875"
2937761	"HD 140847"	"SAO  64876"
2650222	"HD 140849"	"SAO 121175"
1270831	"HD  14085"	"SAO 167673"
2634313	"HD 140850"	"SAO 140739"
2578896	"HD 140851"	"SAO 140741"
2508777	"HD 140853"	"SAO 159488"
2399902	"HD 140854"	"SAO 183780"
11583631	"HD 140855"	"SAO 183782"
2399905	"HD 140856"	"SAO 183781"
2377254	"HD 140857"	"SAO 183783"
2341792	"HD 140858"	"SAO 206970"
1214424	"HD  14086"	"SAO 193610"
2326033	"HD 140860"	"SAO 206972"
3518430	"HD 140861"	"SAO 226206"
11574945	"HD 140862"	"SAO 226215"
3426561	"HD 140863"	"SAO 242996"
3426626	"HD 140865"	"SAO 242998"
496831	"HD 140869"	"SAO  45701"
2679762	"HD 140870"	"SAO 121176"
2650228	"HD 140872"	"SAO 121178"
2634317	"HD 140873"	"SAO 140740"
11576383	"HD 140875"	"SAO 206973"
2341798	"HD 140876"	"SAO 206971"
3503863	"HD 140879"	"SAO 226214"
3041633	"HD  14088"	"SAO 215840"
3503862	"HD 140880"	"SAO 226211"
3490097	"HD 140881"	"SAO 226213"
11574710	"HD 140882"	"SAO 226218"
3412296	"HD 140885"	"SAO 253306"
3412538	"HD 140886"	"SAO 253308"
2857938	"HD 140889"	"SAO  83984"
3094611	"HD  14089"	"SAO 232683"
2777317	"HD 140890"	"SAO  83986"
2665218	"HD 140891"	"SAO 121179"
2650224	"HD 140892"	"SAO 121180"
2634318	"HD 140893"	"SAO 140743"
2621842	"HD 140894"	"SAO 140742"
2594863	"HD 140895"	"SAO 140744"
2399906	"HD 140898"	"SAO 183785"
2399911	"HD 140899"	"SAO 183784"
1257255	"HD   1409"	"SAO 166173"
3180989	"HD  14090"	"SAO 248515"
2341799	"HD 140900"	"SAO 206974"
2312210	"HD 140901"	"SAO 206976"
3474351	"HD 140903"	"SAO 226219"
3474616	"HD 140904"	"SAO 242995"
3196279	"HD  14091"	"SAO 248513"
3381940	"HD 140910"	"SAO 253309"
2937771	"HD 140912"	"SAO  64878"
2831537	"HD 140913"	"SAO  83985"
2650225	"HD 140915"	"SAO 121181"
2594859	"HD 140916"	"SAO 140745"
2594864	"HD 140917"	"SAO 140746"
2578897	"HD 140918"	"SAO 140749"
2528818	"HD 140919"	"SAO 159489"
11576295	"HD 140920"	"SAO 206977"
2325970	"HD 140921"	"SAO 206981"
2312201	"HD 140922"	"SAO 206979"
3474374	"HD 140925"	"SAO 226220"
3459394	"HD 140926"	"SAO 242997"
3441861	"HD 140928"	"SAO 242999"
3412240	"HD 140929"	"SAO 253307"
136437	"HD  14093"	"SAO  23168"
3347423	"HD 140931"	"SAO 257328"
2727955	"HD 140933"	"SAO 101721"
2665220	"HD 140934"	"SAO 121183"
2377238	"HD 140938"	"SAO 183787"
85343	"HD  14094"	"SAO  37932"
2341809	"HD 140940"	"SAO 206978"
11575513	"HD 140943"	"SAO 226217"
3459395	"HD 140944"	"SAO 243000"
3426671	"HD 140946"	"SAO 243005"
26773	"HD  14095"	"SAO  37931"
3365484	"HD 140950"	"SAO 257327"
455277	"HD 140952"	"SAO  29635"
2679757	"HD 140953"	"SAO 121182"
2621843	"HD 140954"	"SAO 140748"
2508787	"HD 140955"	"SAO 183786"
2377239	"HD 140956"	"SAO 183788"
2341801	"HD 140957"	"SAO 206982"
2312216	"HD 140958"	"SAO 206984"
3503772	"HD 140959"	"SAO 226221"
1580540	"HD  14096"	"SAO  55432"
455745	"HD 140965"	"SAO  29636"
2937576	"HD 140966"	"SAO  64879"
2634319	"HD 140967"	"SAO 140750"
2399907	"HD 140968"	"SAO 183789"
2341802	"HD 140971"	"SAO 206983"
2312213	"HD 140973"	"SAO 206991"
2312212	"HD 140974"	"SAO 206987"
3518546	"HD 140975"	"SAO 226222"
3503787	"HD 140976"	"SAO 226224"
3503834	"HD 140977"	"SAO 226223"
3457939	"HD 140978"	"SAO 243003"
3458048	"HD 140979"	"SAO 243001"
3458048	"HD 140979A"	"SAO 243001"
3381942	"HD 140980"	"SAO 253311"
3382447	"HD 140981"	"SAO 253312"
424721	"HD 140982"	"SAO  29632"
2607360	"HD 140986"	"SAO 140751"
2544324	"HD 140987"	"SAO 159490"
2528825	"HD 140989"	"SAO 159491"
1230521	"HD  14099"	"SAO 167672"
2508783	"HD 140990"	"SAO 183790"
2399898	"HD 140991"	"SAO 183791"
2377249	"HD 140992"	"SAO 183792"
11583572	"HD 140993"	"SAO 183794"
2325957	"HD 140994"	"SAO 206989"
3518547	"HD 140995"	"SAO 226226"
3503789	"HD 140996"	"SAO 226228"
3489986	"HD 140997"	"SAO 226230"
3441817	"HD 140998"	"SAO 243006"
1239484	"HD    141"	"SAO 166043"
3262857	"HD   1410"	"SAO 215041"
3139948	"HD  14100"	"SAO 232684"
471966	"HD 141001"	"SAO  45705"
2831522	"HD 141002"	"SAO  83991"
2743279	"HD 141003"	"SAO 101725"
2696956	"HD 141004"	"SAO 121186"
2528821	"HD 141006"	"SAO 159494"
2341803	"HD 141008"	"SAO 206988"
3518461	"HD 141009"	"SAO 226225"
3196058	"HD  14101"	"SAO 248514"
3518499	"HD 141010"	"SAO 226227"
3518764	"HD 141011"	"SAO 226229"
3457942	"HD 141014"	"SAO 243004"
3441827	"HD 141016"	"SAO 243009"
3442688	"HD 141017"	"SAO 243010"
424730	"HD 141020"	"SAO  29634"
496819	"HD 141021"	"SAO  45707"
513638	"HD 141022"	"SAO  45706"
2831541	"HD 141023"	"SAO  83992"
2727953	"HD 141024"	"SAO 101728"
2594858	"HD 141026"	"SAO 140754"
2559379	"HD 141027"	"SAO 159492"
2508784	"HD 141029"	"SAO 183793"
172086	"HD  14103"	"SAO  23175"
3503877	"HD 141031"	"SAO 226232"
3457943	"HD 141032"	"SAO 243007"
455746	"HD 141039"	"SAO  29638"
48247	"HD  14104"	"SAO  37934"
2743239	"HD 141040"	"SAO 101729"
2696613	"HD 141041"	"SAO 121187"
2594860	"HD 141042"	"SAO 140755"
2559380	"HD 141044"	"SAO 159495"
2357605	"HD 141045"	"SAO 183795"
2357606	"HD 141046"	"SAO 183796"
2357607	"HD 141047"	"SAO 183799"
2357619	"HD 141048"	"SAO 206992"
2341794	"HD 141049"	"SAO 206995"
10311	"HD  14105"	"SAO  37930"
11576315	"HD 141050"	"SAO 206993"
3473985	"HD 141053"	"SAO 226233"
3458044	"HD 141054"	"SAO 243008"
3412358	"HD 141055"	"SAO 253310"
3333410	"HD 141059"	"SAO 257331"
1598386	"HD  14106"	"SAO  55435"
389417	"HD 141060"	"SAO  16827"
2594866	"HD 141061"	"SAO 140757"
2578899	"HD 141062"	"SAO 159496"
2399908	"HD 141063"	"SAO 183797"
3490116	"HD 141064"	"SAO 226235"
11574960	"HD 141065"	"SAO 226236"
3490292	"HD 141066"	"SAO 226237"
3458628	"HD 141067"	"SAO 243011"
513643	"HD 141068"	"SAO  45711"
2777318	"HD 141069"	"SAO  83994"
1477284	"HD  14107"	"SAO  92869"
2712030	"HD 141070"	"SAO 121188"
2696618	"HD 141071"	"SAO 121189"
2621841	"HD 141072"	"SAO 140759"
2594855	"HD 141073"	"SAO 140758"
2544326	"HD 141075"	"SAO 159498"
2544325	"HD 141076"	"SAO 159497"
2481708	"HD 141077"	"SAO 183801"
2312257	"HD 141079"	"SAO 206997"
1465999	"HD  14108"	"SAO  92871"
3503806	"HD 141080"	"SAO 226234"
3490117	"HD 141081"	"SAO 226240"
3474646	"HD 141082"	"SAO 243012"
3458629	"HD 141083"	"SAO 243013"
3365486	"HD 141084"	"SAO 257330"
2607357	"HD 141085"	"SAO 140760"
2508779	"HD 141088"	"SAO 159499"
2508819	"HD 141089"	"SAO 159500"
1358814	"HD  14109"	"SAO 129795"
2481723	"HD 141090"	"SAO 183803"
2399924	"HD 141091"	"SAO 183802"
2399976	"HD 141092"	"SAO 183804"
2341843	"HD 141093"	"SAO 206996"
3490118	"HD 141095"	"SAO 226242"
3474647	"HD 141097"	"SAO 243014"
3262628	"HD   1411"	"SAO 215042"
2665223	"HD 141102"	"SAO 121190"
2634310	"HD 141103"	"SAO 140761"
2634315	"HD 141104"	"SAO 140762"
2634316	"HD 141105"	"SAO 140763"
2481709	"HD 141106"	"SAO 183805"
2377321	"HD 141107"	"SAO 183810"
11576286	"HD 141109"	"SAO 206998"
1158978	"HD  14111"	"SAO 193612"
2326036	"HD 141110"	"SAO 206999"
3518428	"HD 141113"	"SAO 207001"
3503807	"HD 141114"	"SAO 226243"
3504287	"HD 141116"	"SAO 226244"
3094862	"HD  14112"	"SAO 232686"
3426642	"HD 141120"	"SAO 243020"
3412359	"HD 141122"	"SAO 253314"
2727960	"HD 141126"	"SAO 101735"
2712024	"HD 141127"	"SAO 101736"
2578892	"HD 141128"	"SAO 140764"
2559422	"HD 141129"	"SAO 159501"
3181181	"HD  14113"	"SAO 248517"
2481724	"HD 141131"	"SAO 183808"
2399977	"HD 141132"	"SAO 183809"
2341839	"HD 141133"	"SAO 207000"
2312279	"HD 141134"	"SAO 207003"
3458631	"HD 141136"	"SAO 243015"
3427325	"HD 141137"	"SAO 253313"
2938675	"HD 141142"	"SAO  64886"
2650227	"HD 141144"	"SAO 121191"
2528860	"HD 141146"	"SAO 159502"
2357646	"HD 141148"	"SAO 183814"
11576211	"HD 141149"	"SAO 207005"
1348711	"HD  14115"	"SAO 129797"
3458046	"HD 141150"	"SAO 243016"
3441819	"HD 141151"	"SAO 243021"
3443187	"HD 141152"	"SAO 243025"
344901	"HD 141155"	"SAO   2566"
471459	"HD 141156"	"SAO  45713"
2938676	"HD 141157"	"SAO  64890"
2857936	"HD 141158"	"SAO  64891"
2712027	"HD 141159"	"SAO 101738"
1338500	"HD  14116"	"SAO 129796"
2665276	"HD 141160"	"SAO 121192"
2544371	"HD 141161"	"SAO 159503"
2544392	"HD 141162"	"SAO 159504"
2481703	"HD 141163"	"SAO 183811"
2481725	"HD 141164"	"SAO 183813"
3518530	"HD 141166"	"SAO 226246"
3490052	"HD 141167"	"SAO 226250"
3458746	"HD 141168"	"SAO 243022"
3426643	"HD 141169"	"SAO 243030"
1298664	"HD  14117"	"SAO 148305"
3426644	"HD 141170"	"SAO 243031"
3397945	"HD 141171"	"SAO 253315"
424732	"HD 141173"	"SAO  29643"
455747	"HD 141174"	"SAO  29645"
2938677	"HD 141175"	"SAO  64889"
2812413	"HD 141176"	"SAO  83998"
2508828	"HD 141179"	"SAO 183812"
2377303	"HD 141180"	"SAO 183815"
11576365	"HD 141181"	"SAO 207004"
3474651	"HD 141183"	"SAO 243019"
2912253	"HD 141186"	"SAO  64893"
2912252	"HD 141186B"	"SAO  64892"
2727950	"HD 141187"	"SAO 101739"
2528874	"HD 141188"	"SAO 159505"
2377294	"HD 141189"	"SAO 183816"
1184642	"HD  14119"	"SAO 193611"
2357647	"HD 141190"	"SAO 183818"
3490119	"HD 141193"	"SAO 226252"
3474382	"HD 141194"	"SAO 226254"
3474620	"HD 141195"	"SAO 243024"
11574658	"HD 141196"	"SAO 243023"
3474711	"HD 141197"	"SAO 243028"
3458636	"HD 141198"	"SAO 243026"
1158977	"HD  14120"	"SAO 193614"
513583	"HD 141204"	"SAO  45718"
513583	"HD 141204A"	"SAO  45718"
513640	"HD 141205"	"SAO  45717"
2938678	"HD 141206"	"SAO  64894"
2665247	"HD 141207"	"SAO 121193"
2665261	"HD 141208"	"SAO 121194"
3094621	"HD  14121"	"SAO 232687"
2341845	"HD 141210"	"SAO 207006"
2326042	"HD 141211"	"SAO 207008"
2312258	"HD 141212"	"SAO 207011"
3490120	"HD 141214"	"SAO 226253"
3442879	"HD 141215"	"SAO 243034"
3426645	"HD 141216"	"SAO 243037"
344537	"HD 141218"	"SAO   2576"
2857937	"HD 141219"	"SAO  64897"
3167343	"HD  14122"	"SAO 248519"
2759495	"HD 141220"	"SAO 101740"
2559437	"HD 141221"	"SAO 159506"
2544372	"HD 141222"	"SAO 159507"
2544373	"HD 141223"	"SAO 159508"
2508817	"HD 141224"	"SAO 159509"
2508829	"HD 141225"	"SAO 183817"
2508834	"HD 141226"	"SAO 183819"
2481726	"HD 141227"	"SAO 183820"
2377315	"HD 141228"	"SAO 183821"
2357688	"HD 141229"	"SAO 207007"
3490121	"HD 141233"	"SAO 226255"
3474657	"HD 141234"	"SAO 243032"
3426646	"HD 141235"	"SAO 243038"
206997	"HD  14124"	"SAO  12220"
424709	"HD 141241"	"SAO  16833"
424725	"HD 141242"	"SAO  29644"
424724	"HD 141242B"	"SAO  29646"
443103	"HD 141243"	"SAO  29648"
496324	"HD 141244"	"SAO  45719"
2831568	"HD 141245"	"SAO  84000"
2831692	"HD 141246"	"SAO  83999"
2607373	"HD 141247"	"SAO 140766"
2607392	"HD 141248"	"SAO 140767"
84864	"HD  14125"	"SAO  23174"
2508818	"HD 141250"	"SAO 159510"
2377304	"HD 141251"	"SAO 183824"
2377322	"HD 141252"	"SAO 183825"
2357661	"HD 141253"	"SAO 207010"
2312282	"HD 141254"	"SAO 207014"
3474384	"HD 141257"	"SAO 226260"
3458639	"HD 141258"	"SAO 243033"
1495786	"HD  14126"	"SAO  75268"
3381864	"HD 141261"	"SAO 253319"
389419	"HD 141264"	"SAO  16829"
2912249	"HD 141266"	"SAO  64899"
2912443	"HD 141267"	"SAO  64900"
2858088	"HD 141268"	"SAO  64902"
2831693	"HD 141269"	"SAO  84001"
1417303	"HD  14127"	"SAO 110453"
2812453	"HD 141270"	"SAO  84002"
2665268	"HD 141271"	"SAO 121195"
2650261	"HD 141272"	"SAO 121196"
2508835	"HD 141274"	"SAO 183822"
2341847	"HD 141275"	"SAO 207012"
2326064	"HD 141276"	"SAO 207013"
3490122	"HD 141278"	"SAO 226259"
11574713	"HD 141279"	"SAO 226264"
1395777	"HD  14128"	"SAO 110452"
3458641	"HD 141280"	"SAO 243036"
401568	"HD 141285"	"SAO  16831"
2777386	"HD 141289"	"SAO 101743"
1348712	"HD  14129"	"SAO 129798"
2679794	"HD 141290"	"SAO 121197"
2508820	"HD 141292"	"SAO 159511"
2481704	"HD 141293"	"SAO 183826"
2326043	"HD 141294"	"SAO 207016"
3518770	"HD 141295"	"SAO 226257"
3518769	"HD 141295B"	"SAO 226258"
3504239	"HD 141296"	"SAO 226263"
3504239	"HD 141296A"	"SAO 226263"
3490123	"HD 141297"	"SAO 226262"
3441821	"HD 141298"	"SAO 243042"
3262438	"HD   1413"	"SAO 231990"
1308631	"HD  14130"	"SAO 148306"
3426673	"HD 141300"	"SAO 243046"
3412300	"HD 141301"	"SAO 253317"
3365511	"HD 141303"	"SAO 257332"
455315	"HD 141304"	"SAO  45721"
2938744	"HD 141305"	"SAO  64901"
2881565	"HD 141306"	"SAO  64904"
2812437	"HD 141307"	"SAO  84004"
2634376	"HD 141308"	"SAO 140770"
2594893	"HD 141309"	"SAO 140771"
1270832	"HD  14131"	"SAO 167674"
2399978	"HD 141310"	"SAO 183827"
11583577	"HD 141311"	"SAO 183828"
2357668	"HD 141312"	"SAO 207015"
2357669	"HD 141313"	"SAO 207017"
3503794	"HD 141315"	"SAO 226261"
3504222	"HD 141316"	"SAO 226266"
11574716	"HD 141317"	"SAO 226268"
3442215	"HD 141318"	"SAO 243044"
3029409	"HD  14132"	"SAO 215842"
3427326	"HD 141320"	"SAO 253316"
3333390	"HD 141322"	"SAO 257334"
389383	"HD 141323"	"SAO  16830"
2528882	"HD 141325"	"SAO 159512"
2357662	"HD 141326"	"SAO 207018"
2342132	"HD 141327"	"SAO 207020"
3490124	"HD 141329"	"SAO 226267"
3041640	"HD  14133"	"SAO 215841"
3458642	"HD 141330"	"SAO 243043"
3412361	"HD 141332"	"SAO 253318"
3412362	"HD 141333"	"SAO 253320"
401117	"HD 141335"	"SAO  16836"
424258	"HD 141336"	"SAO  29650"
2357648	"HD 141337"	"SAO 183830"
2312284	"HD 141338"	"SAO 207024"
2312301	"HD 141339"	"SAO 207022"
176284	"HD  14134"	"SAO  23178"
3518748	"HD 141340"	"SAO 226265"
3503880	"HD 141341"	"SAO 226272"
3490125	"HD 141342"	"SAO 226271"
3398694	"HD 141344"	"SAO 253322"
401554	"HD 141346"	"SAO  16838"
513644	"HD 141347"	"SAO  45724"
2912445	"HD 141348"	"SAO  64908"
2881566	"HD 141349"	"SAO  64909"
136375	"HD  14135"	"SAO  23177"
2881587	"HD 141350"	"SAO  64906"
2831673	"HD 141352"	"SAO  84005"
2727988	"HD 141353"	"SAO 101744"
2727991	"HD 141354"	"SAO 101748"
2679786	"HD 141355"	"SAO 121198"
2594896	"HD 141356"	"SAO 140776"
2578921	"HD 141357"	"SAO 140774"
2508830	"HD 141359"	"SAO 183829"
2377324	"HD 141360"	"SAO 183831"
2341841	"HD 141361"	"SAO 207021"
2326065	"HD 141362"	"SAO 207023"
3503795	"HD 141364"	"SAO 226269"
3503881	"HD 141366"	"SAO 226273"
10320	"HD  14137"	"SAO  37936"
3426648	"HD 141370"	"SAO 243051"
455759	"HD 141372"	"SAO  29652"
455289	"HD 141373"	"SAO  29653"
471470	"HD 141374"	"SAO  45723"
2831695	"HD 141375"	"SAO  84006"
2634350	"HD 141377"	"SAO 140773"
2621872	"HD 141378"	"SAO 140775"
2594916	"HD 141379"	"SAO 140778"
1298666	"HD  14138"	"SAO 148307"
2377305	"HD 141382"	"SAO 183834"
2357670	"HD 141383"	"SAO 207026"
11576284	"HD 141384"	"SAO 207025"
3503810	"HD 141386"	"SAO 226274"
3504223	"HD 141387"	"SAO 226277"
3490109	"HD 141388"	"SAO 226275"
3474387	"HD 141389"	"SAO 226280"
1298665	"HD  14139"	"SAO 148308"
3474668	"HD 141390"	"SAO 243047"
3458748	"HD 141391"	"SAO 243048"
3412364	"HD 141393"	"SAO 253321"
3365560	"HD 141396"	"SAO 257333"
389420	"HD 141397"	"SAO  16835"
424728	"HD 141398"	"SAO  29651"
471462	"HD 141399"	"SAO  45726"
1250448	"HD  14140"	"SAO 167675"
2912385	"HD 141400"	"SAO  64907"
2559438	"HD 141402"	"SAO 159513"
11583915	"HD 141403"	"SAO 183832"
2508837	"HD 141404"	"SAO 183833"
2326066	"HD 141406"	"SAO 207028"
3490149	"HD 141407"	"SAO 226279"
3457948	"HD 141408"	"SAO 243049"
3458643	"HD 141409"	"SAO 243050"
3196076	"HD  14141"	"SAO 248518"
3426649	"HD 141410"	"SAO 243055"
3398564	"HD 141413"	"SAO 253323"
2881578	"HD 141417"	"SAO  64911"
2812468	"HD 141419"	"SAO  84007"
172125	"HD  14142"	"SAO  23183"
2679813	"HD 141420"	"SAO 121200"
2650275	"HD 141422"	"SAO 121201"
2621866	"HD 141423"	"SAO 140780"
11575519	"HD 141427"	"SAO 226278"
173956	"HD  14143"	"SAO  23182"
3347799	"HD 141431"	"SAO 257335"
2881588	"HD 141433"	"SAO  64913"
2858089	"HD 141434"	"SAO  64914"
2634368	"HD 141438"	"SAO 140781"
2544359	"HD 141439"	"SAO 159514"
1598113	"HD  14144"	"SAO  55443"
2399926	"HD 141441"	"SAO 183836"
2399948	"HD 141442"	"SAO 183838"
2377295	"HD 141443"	"SAO 183839"
2377325	"HD 141444"	"SAO 183841"
2357649	"HD 141445"	"SAO 183842"
3490127	"HD 141447"	"SAO 226282"
3490665	"HD 141448"	"SAO 226285"
3458749	"HD 141449"	"SAO 243053"
1580597	"HD  14145"	"SAO  55441"
3398566	"HD 141450"	"SAO 253326"
496335	"HD 141454"	"SAO  45729"
2938767	"HD 141455"	"SAO  64912"
2858042	"HD 141456"	"SAO  64915"
2858101	"HD 141457"	"SAO  64916"
2727992	"HD 141458"	"SAO 101753"
2665249	"HD 141459"	"SAO 121203"
1537081	"HD  14146"	"SAO  75269"
2634351	"HD 141460"	"SAO 140783"
2607495	"HD 141461"	"SAO 140782"
2594912	"HD 141462"	"SAO 140785"
2578931	"HD 141463"	"SAO 159515"
2559439	"HD 141464"	"SAO 159516"
2528862	"HD 141465"	"SAO 159518"
2508848	"HD 141466"	"SAO 183837"
11583682	"HD 141467"	"SAO 183840"
3490129	"HD 141468"	"SAO 226286"
3490128	"HD 141469"	"SAO 226284"
1477281	"HD  14147"	"SAO  92873"
389421	"HD 141471"	"SAO  16840"
443107	"HD 141472"	"SAO  29655"
455761	"HD 141473"	"SAO  29659"
455761	"HD 141473A"	"SAO  29659"
455321	"HD 141474"	"SAO  45728"
2795144	"HD 141476"	"SAO  84011"
2759505	"HD 141477"	"SAO 101752"
2634352	"HD 141478"	"SAO 140784"
1417304	"HD  14148"	"SAO 110454"
2377410	"HD 141480"	"SAO 183844"
11576338	"HD 141481"	"SAO 207029"
2312302	"HD 141482"	"SAO 207032"
3490172	"HD 141484"	"SAO 226290"
3474505	"HD 141485"	"SAO 226291"
3442684	"HD 141486"	"SAO 243056"
3412366	"HD 141488"	"SAO 253325"
2812456	"HD 141490"	"SAO  84014"
2696671	"HD 141491"	"SAO 121204"
2665263	"HD 141492"	"SAO 121205"
2544375	"HD 141493"	"SAO 159519"
2508822	"HD 141494"	"SAO 159521"
2399949	"HD 141495"	"SAO 183843"
2357650	"HD 141496"	"SAO 183845"
2326067	"HD 141497"	"SAO 207033"
2312286	"HD 141498"	"SAO 207036"
1298659	"HD  14150"	"SAO 148310"
3503797	"HD 141500"	"SAO 226289"
3490620	"HD 141502"	"SAO 226293"
3382452	"HD 141504"	"SAO 253333"
344528	"HD 141505"	"SAO   2579"
389370	"HD 141506"	"SAO  16839"
443085	"HD 141507"	"SAO  29656"
442529	"HD 141508"	"SAO  29660"
2881590	"HD 141509"	"SAO  64919"
3094622	"HD  14151"	"SAO 232689"
2858102	"HD 141510"	"SAO  64920"
2712072	"HD 141511"	"SAO 101755"
2679815	"HD 141512"	"SAO 121206"
2621867	"HD 141513"	"SAO 140787"
2559440	"HD 141514"	"SAO 159522"
2528863	"HD 141515"	"SAO 159520"
2357672	"HD 141517"	"SAO 207031"
2341863	"HD 141518"	"SAO 207034"
11576111	"HD 141519"	"SAO 207038"
291404	"HD  14152"	"SAO   4630"
3518513	"HD 141520"	"SAO 226288"
471589	"HD 141525"	"SAO  45732"
2938757	"HD 141526"	"SAO  64918"
2831935	"HD 141527"	"SAO  84015"
2795137	"HD 141529"	"SAO  84016"
224534	"HD  14153"	"SAO  12225"
2712073	"HD 141530"	"SAO 101756"
2712086	"HD 141531"	"SAO 121207"
2594917	"HD 141532"	"SAO 140788"
2481712	"HD 141534"	"SAO 183846"
2357673	"HD 141535"	"SAO 207037"
2326037	"HD 141536"	"SAO 207039"
2312260	"HD 141537"	"SAO 207041"
3518515	"HD 141539"	"SAO 226292"
207000	"HD  14154"	"SAO  23190"
3503883	"HD 141542"	"SAO 226296"
3490131	"HD 141544"	"SAO 226295"
3474908	"HD 141545"	"SAO 243057"
455762	"HD 141549"	"SAO  29662"
1537171	"HD  14155"	"SAO  75270"
455299	"HD 141550"	"SAO  29665"
2696692	"HD 141551"	"SAO 121208"
2578932	"HD 141552"	"SAO 159523"
2399971	"HD 141554"	"SAO 183847"
2399981	"HD 141555"	"SAO 183849"
2341920	"HD 141556"	"SAO 207040"
2326068	"HD 141557"	"SAO 207043"
3518767	"HD 141559"	"SAO 226297"
1298655	"HD  14156"	"SAO 148309"
3503884	"HD 141560"	"SAO 226298"
3490151	"HD 141561"	"SAO 226299"
3474676	"HD 141562"	"SAO 243058"
3442883	"HD 141563"	"SAO 243059"
401577	"HD 141564"	"SAO  16845"
471451	"HD 141565"	"SAO  45734"
2938615	"HD 141566"	"SAO  45736"
2696673	"HD 141568"	"SAO 121209"
2622034	"HD 141569"	"SAO 140789"
2622034	"HD 141569A"	"SAO 140789"
1250449	"HD  14157"	"SAO 167676"
2594918	"HD 141570"	"SAO 140791"
2578922	"HD 141571"	"SAO 140793"
2528864	"HD 141572"	"SAO 159525"
2508838	"HD 141575"	"SAO 183848"
2357651	"HD 141576"	"SAO 183852"
2357663	"HD 141577"	"SAO 207042"
11576178	"HD 141578"	"SAO 207044"
1214428	"HD  14158"	"SAO 193616"
3518981	"HD 141580"	"SAO 226301"
3441831	"HD 141581"	"SAO 243063"
3442884	"HD 141582"	"SAO 243064"
3426650	"HD 141583"	"SAO 243067"
3412368	"HD 141585"	"SAO 253328"
3412541	"HD 141586"	"SAO 253331"
389399	"HD 141588"	"SAO  16843"
2728005	"HD 141589"	"SAO 101758"
2607384	"HD 141590"	"SAO 140790"
2578946	"HD 141591"	"SAO 159524"
2528855	"HD 141593"	"SAO 159527"
2528865	"HD 141594"	"SAO 159526"
2481713	"HD 141597"	"SAO 183850"
2481727	"HD 141598"	"SAO 183851"
2357652	"HD 141599"	"SAO 183855"
278904	"HD   1416"	"SAO     50"
3273945	"HD  14160"	"SAO 258288"
3504224	"HD 141601"	"SAO 226304"
3490133	"HD 141602"	"SAO 226302"
3458751	"HD 141603"	"SAO 243060"
3442885	"HD 141605"	"SAO 243065"
3427279	"HD 141606"	"SAO 253327"
513648	"HD 141607"	"SAO  45738"
2665269	"HD 141609"	"SAO 121211"
172092	"HD  14161"	"SAO  23191"
2665278	"HD 141610"	"SAO 121210"
2559424	"HD 141613"	"SAO 159528"
2528877	"HD 141615"	"SAO 159529"
2528884	"HD 141617"	"SAO 159530"
2399950	"HD 141618"	"SAO 183853"
173604	"HD  14162"	"SAO  23187"
3504225	"HD 141621"	"SAO 226305"
3442694	"HD 141622"	"SAO 243066"
3426651	"HD 141623"	"SAO 243072"
3412293	"HD 141624"	"SAO 253329"
3412369	"HD 141625"	"SAO 253332"
401531	"HD 141628"	"SAO  16846"
2881579	"HD 141629"	"SAO  64921"
85383	"HD  14163"	"SAO  37942"
2858090	"HD 141630"	"SAO  64922"
