oid	hd_id	sao_id
1835395	"HD 100184"	"SAO 179960"
1835396	"HD 100185"	"SAO 179962"
1835921	"HD 100186"	"SAO 179961"
1835945	"HD 100187"	"SAO 202532"
1836205	"HD 100188"	"SAO 202534"
1836486	"HD 100189"	"SAO 202535"
3140601	"HD  10019"	"SAO 215581"
1836971	"HD 100190"	"SAO 222838"
1838156	"HD 100191"	"SAO 222839"
3215170	"HD 100192"	"SAO 222840"
3215171	"HD 100193"	"SAO 222841"
3233334	"HD 100194"	"SAO 239139"
3233625	"HD 100195"	"SAO 239138"
3235379	"HD 100197"	"SAO 239140"
3235536	"HD 100198"	"SAO 251437"
3237335	"HD 100199"	"SAO 251434"
1257259	"HD   1002"	"SAO 166137"
3196589	"HD  10020"	"SAO 232476"
3237336	"HD 100200"	"SAO 251435"
463099	"HD 100202"	"SAO  15543"
503981	"HD 100203"	"SAO  15542"
1823019	"HD 100204"	"SAO  62588"
1826734	"HD 100205"	"SAO 118906"
1834898	"HD 100206"	"SAO 156733"
3214890	"HD 100209"	"SAO 222844"
83946	"HD  10021"	"SAO  22472"
3215129	"HD 100211"	"SAO 222842"
3215128	"HD 100211B"	"SAO 222843"
3237247	"HD 100212"	"SAO 251438"
3238905	"HD 100213"	"SAO 251436"
533197	"HD 100214"	"SAO  28050"
533197	"HD 100214A"	"SAO  28050"
1820234	"HD 100215"	"SAO  62589"
1826244	"HD 100216"	"SAO  99651"
1833602	"HD 100217"	"SAO 156734"
1835119	"HD 100219"	"SAO 179964"
1835427	"HD 100221"	"SAO 179965"
1836513	"HD 100222"	"SAO 202537"
1836955	"HD 100224"	"SAO 202536"
1838144	"HD 100226"	"SAO 222846"
1838145	"HD 100227"	"SAO 222847"
1838162	"HD 100228"	"SAO 222845"
3215531	"HD 100229"	"SAO 239141"
1596900	"HD  10023"	"SAO  37399"
3235347	"HD 100231"	"SAO 239142"
391568	"HD 100233"	"SAO   7377"
409087	"HD 100234"	"SAO   7375"
1821159	"HD 100235"	"SAO  62590"
1825288	"HD 100236"	"SAO  99650"
1829883	"HD 100237"	"SAO 138252"
1832932	"HD 100238"	"SAO 138251"
1357411	"HD  10024"	"SAO 129415"
1834913	"HD 100240"	"SAO 156735"
3215172	"HD 100241"	"SAO 222848"
3235479	"HD 100242"	"SAO 251439"
3237337	"HD 100243"	"SAO 251440"
409082	"HD 100244"	"SAO   7378"
1831961	"HD 100245"	"SAO 138253"
1831962	"HD 100245B"	"SAO 138254"
1832940	"HD 100246"	"SAO 138255"
1834923	"HD 100247"	"SAO 156736"
1835681	"HD 100248"	"SAO 179966"
3233320	"HD 100250"	"SAO 239144"
3233644	"HD 100252"	"SAO 239143"
447954	"HD 100253"	"SAO  15547"
1820310	"HD 100254"	"SAO  62593"
1823040	"HD 100255"	"SAO  81872"
1826735	"HD 100256"	"SAO 118909"
1833883	"HD 100257"	"SAO 156737"
1836943	"HD 100259"	"SAO 202540"
3215122	"HD 100260"	"SAO 222850"
3235348	"HD 100261"	"SAO 239145"
3235350	"HD 100262"	"SAO 239146"
3237338	"HD 100263"	"SAO 251441"
3238889	"HD 100264"	"SAO 251442"
409127	"HD 100265"	"SAO   7379"
1819451	"HD 100266"	"SAO  43801"
1826221	"HD 100267"	"SAO  99652"
1826721	"HD 100268"	"SAO 118911"
1829872	"HD 100269"	"SAO 138256"
3095818	"HD  10027"	"SAO 215582"
1833897	"HD 100270"	"SAO 156739"
1834900	"HD 100271"	"SAO 156738"
1836206	"HD 100272"	"SAO 202542"
3233343	"HD 100273"	"SAO 239148"
3233344	"HD 100274"	"SAO 239147"
3235965	"HD 100276"	"SAO 251443"
3235539	"HD 100277"	"SAO 251444"
3237178	"HD 100278"	"SAO 251445"
551790	"HD 100284"	"SAO  28051"
1832792	"HD 100285"	"SAO 138257"
1835923	"HD 100286"	"SAO 179967"
11633291	"HD 100287"	"SAO 179968"
1835947	"HD 100288"	"SAO 202545"
1836207	"HD 100289"	"SAO 202544"
1836735	"HD 100290"	"SAO 202543"
1838128	"HD 100291"	"SAO 222851"
3235380	"HD 100293"	"SAO 239149"
485836	"HD 100297"	"SAO  15548"
485871	"HD 100298"	"SAO  15549"
503984	"HD 100299"	"SAO  15550"
1152222	"HD   1003"	"SAO 215011"
240911	"HD  10030"	"SAO  11900"
569548	"HD 100300"	"SAO  28052"
590891	"HD 100301"	"SAO  43802"
1824450	"HD 100302"	"SAO  81873"
1824449	"HD 100302B"	"SAO  81874"
1831983	"HD 100303"	"SAO 138259"
1833890	"HD 100304"	"SAO 156741"
1835113	"HD 100305"	"SAO 156740"
1835398	"HD 100306"	"SAO 179970"
1835702	"HD 100307"	"SAO 179969"
3271856	"HD 100308"	"SAO 256846"
108587	"HD  10031"	"SAO  22475"
569582	"HD 100310"	"SAO  28053"
1820236	"HD 100311"	"SAO  62596"
1824451	"HD 100312"	"SAO  81875"
1828157	"HD 100313"	"SAO 118912"
1832795	"HD 100314"	"SAO 138260"
1832941	"HD 100315"	"SAO 138261"
1835926	"HD 100317"	"SAO 179972"
1835925	"HD 100318"	"SAO 179971"
1836190	"HD 100319"	"SAO 202549"
1596892	"HD  10032"	"SAO  37400"
1836532	"HD 100320"	"SAO 202547"
1836767	"HD 100321"	"SAO 202548"
3237373	"HD 100323"	"SAO 251447"
3239381	"HD 100324"	"SAO 251446"
3271130	"HD 100325"	"SAO 256847"
3271156	"HD 100326"	"SAO 256848"
1831973	"HD 100328"	"SAO 138262"
1835691	"HD 100329"	"SAO 179974"
1578194	"HD  10033"	"SAO  54863"
1836242	"HD 100330"	"SAO 202550"
3215207	"HD 100331"	"SAO 222852"
3233321	"HD 100332"	"SAO 239151"
3234317	"HD 100334"	"SAO 239150"
3235545	"HD 100335"	"SAO 251449"
1819514	"HD 100337"	"SAO  62599"
1821250	"HD 100338"	"SAO  62598"
1825289	"HD 100339"	"SAO  99655"
1578194	"HD  10033A"	"SAO  54863"
1832942	"HD 100342"	"SAO 138266"
1832949	"HD 100343"	"SAO 138265"
1833582	"HD 100344"	"SAO 138264"
1834642	"HD 100345"	"SAO 156745"
1834901	"HD 100346"	"SAO 156744"
1834933	"HD 100347"	"SAO 156743"
1835692	"HD 100349"	"SAO 179975"
1307038	"HD  10035"	"SAO 147919"
1835907	"HD 100350"	"SAO 179973"
3215208	"HD 100352"	"SAO 222853"
3237287	"HD 100355"	"SAO 251450"
3238966	"HD 100357"	"SAO 251448"
3238966	"HD 100357A"	"SAO 251448"
3271812	"HD 100359"	"SAO 256849"
1269963	"HD  10036"	"SAO 167182"
1820301	"HD 100360"	"SAO  62601"
1826724	"HD 100361"	"SAO 118914"
1826723	"HD 100362"	"SAO 118913"
1833967	"HD 100363"	"SAO 156747"
1833898	"HD 100364"	"SAO 156746"
1835415	"HD 100365"	"SAO 179976"
1836737	"HD 100366"	"SAO 202551"
3214919	"HD 100367"	"SAO 222855"
1269983	"HD  10037"	"SAO 167183"
3272918	"HD 100370"	"SAO 258613"
447955	"HD 100371"	"SAO  15552"
1822144	"HD 100372"	"SAO  62602"
1825261	"HD 100373"	"SAO  99657"
1828158	"HD 100374"	"SAO 118915"
1835399	"HD 100375"	"SAO 179979"
1835683	"HD 100376"	"SAO 179978"
1835927	"HD 100377"	"SAO 179977"
1836964	"HD 100378"	"SAO 222856"
3234318	"HD 100379"	"SAO 239152"
1156583	"HD  10038"	"SAO 215584"
3235381	"HD 100380"	"SAO 239153"
3235551	"HD 100381"	"SAO 251452"
3238967	"HD 100382"	"SAO 251451"
3271157	"HD 100383"	"SAO 256850"
379168	"HD 100385"	"SAO   1896"
1825279	"HD 100387"	"SAO  99659"
1827318	"HD 100388"	"SAO 118916"
1832793	"HD 100389"	"SAO 138268"
3140600	"HD  10039"	"SAO 215583"
1835416	"HD 100390"	"SAO 179980"
1835948	"HD 100392"	"SAO 202556"
1836209	"HD 100393"	"SAO 202554"
1836215	"HD 100394"	"SAO 202555"
1836526	"HD 100395"	"SAO 202553"
3233106	"HD 100397"	"SAO 239154"
3233107	"HD 100398"	"SAO 239155"
3281496	"HD   1004"	"SAO 231979"
409128	"HD 100402"	"SAO   7380"
551791	"HD 100403"	"SAO  28055"
1820317	"HD 100404"	"SAO  62603"
1835114	"HD 100406"	"SAO 156748"
1836217	"HD 100407"	"SAO 202558"
3233323	"HD 100408"	"SAO 239159"
3233338	"HD 100409"	"SAO 239156"
3226504	"HD  10041"	"SAO 255795"
3235382	"HD 100412"	"SAO 239157"
1824822	"HD 100414"	"SAO  81876"
1827714	"HD 100415"	"SAO 118920"
1827731	"HD 100416"	"SAO 118917"
1828148	"HD 100417"	"SAO 118918"
1834643	"HD 100418"	"SAO 156750"
3243806	"HD  10042"	"SAO 255794"
1834924	"HD 100420"	"SAO 156749"
1838158	"HD 100424"	"SAO 222857"
1838163	"HD 100425"	"SAO 222858"
3234248	"HD 100427"	"SAO 239158"
109355	"HD  10043"	"SAO  22478"
3237179	"HD 100430"	"SAO 251453"
345582	"HD 100432"	"SAO   1902"
447959	"HD 100433"	"SAO  15553"
1824011	"HD 100434"	"SAO  81877"
1827309	"HD 100435"	"SAO 118922"
1827340	"HD 100436"	"SAO 118921"
1828167	"HD 100437"	"SAO 118919"
1833584	"HD 100438"	"SAO 138269"
46878	"HD  10044"	"SAO  37405"
1835401	"HD 100440"	"SAO 179981"
1838149	"HD 100441"	"SAO 222860"
3214891	"HD 100442"	"SAO 222861"
3237340	"HD 100444"	"SAO 251454"
463118	"HD 100446"	"SAO  15554"
1824850	"HD 100447"	"SAO  99662"
1835402	"HD 100449"	"SAO 179982"
